Beam,1060,1080,1100,1120,1140,1300,1320,1340,1360,1380,1400,1420,1440
M01,3.44,3.37,3.31,3.29,3.29,3.01,2.98,2.93,2.89,2.85,2.82,2.82,2.82
M02,3.44,3.37,3.31,3.33,3.33,3.04,3.00,2.96,2.92,2.88,2.85,2.85,2.84
M03,3.44,3.38,3.30,3.33,3.32,3.03,3.00,2.95,2.91,2.87,2.84,2.84,2.83
M04,3.44,3.38,3.31,3.34,3.32,3.05,3.01,2.97,2.93,2.90,2.86,2.86,2.85
M05,3.43,3.36,3.29,3.31,3.32,3.03,2.99,2.95,2.91,2.87,2.83,2.83,2.82
M06,3.44,3.39,3.31,3.34,3.34,3.07,3.03,3.01,3.01,2.99,2.95,2.94,2.99
M07,3.45,3.39,3.31,3.33,3.34,3.02,2.99,2.95,2.92,2.88,2.86,2.86,2.86
M08,3.46,3.42,3.38,3.35,3.34,3.04,3.02,2.98,2.95,2.92,2.90,2.88,2.86
M09,3.48,3.41,3.36,3.33,3.30,3.04,3.01,2.97,2.94,2.91,2.88,2.88,2.86
M10,3.52,3.46,3.40,3.38,3.35,3.08,3.05,3.03,3.00,2.97,2.95,2.94,2.92
M11,3.49,3.43,3.38,3.37,3.34,3.05,3.02,3.00,2.97,2.94,2.92,2.91,2.90
M12,3.49,3.44,3.39,3.37,3.34,3.07,3.05,3.03,3.00,2.97,2.95,2.94,2.90
M13,3.48,3.41,3.34,3.33,3.32,3.04,3.01,2.98,2.95,2.93,2.91,2.91,2.89
M14,3.53,3.48,3.43,3.41,3.38,3.10,3.07,3.04,3.01,2.98,2.95,2.94,2.92
M15,3.49,3.42,3.36,3.36,3.36,3.06,3.01,2.98,2.94,2.91,2.89,2.88,2.86
M16,3.51,3.46,3.41,3.39,3.34,3.10,3.07,3.05,3.02,2.99,2.97,2.95,2.93
M17,3.49,3.42,3.35,3.34,3.33,3.02,3.00,2.99,2.97,2.94,2.92,2.92,2.91
M18,3.55,3.51,3.37,3.33,3.29,3.05,3.04,3.00,2.98,2.96,2.95,2.94,2.93
M19,3.42,3.41,3.36,3.33,3.34,3.03,3.00,2.98,2.95,2.93,2.91,2.90,2.89
